x,y,xd,yd,xdd,ydd
300.0113269928,300,0.95508,0,-80,0
300.011364241,300,0.95664,0,-80,0
300.0114005933,300,0.95816,0,-80,0
300.0114370034,300,0.95968,0,-80,0
300.0114744309,300,0.96124,0,-80,0
300.0115119192,300,0.9628,0,-80,0
300.0115485056,300,0.96432,0,-80,0
300.0115861141,300,0.96588,0,-80,0
300.0116228176,300,0.9674,0,-80,0
300.0116605462,300,0.96896,0,-80,0
300.0116973666,300,0.97048,0,-80,0
300.0117352154,300,0.97204,0,-80,0
300.0117721529,300,0.97356,0,-80,0
300.0118091482,300,0.97508,0,-80,0
300.0118471763,300,0.97664,0,-80,0
300.0118842886,300,0.97816,0,-80,0
300.0119214587,300,0.97968,0,-80,0
300.0119586865,300,0.9812,0,-80,0
300.0119959721,300,0.98272,0,-80,0
300.0120333155,300,0.98424,0,-80,0
300.0120717008,300,0.9858,0,-80,0
300.012110147,300,0.98736,0,-80,0
300.0121486541,300,0.98892,0,-80,0
300.012187222,300,0.99048,0,-80,0
300.0122248602,300,0.992,0,-80,0
300.0122645402,300,0.9936,0,-80,0
300.0123013034,300,0.99508,0,-80,0
300.0123391164,300,0.9966,0,-80,0
300.0123769872,300,0.99812,0,-80,0
300.0124139177,300,0.9996,0,-80,0
300.0124519025,300,1.00112,0,-80,0
300.012489945,300,1.00264,0,-80,0
300.012529048,300,1.0042,0,-80,0
300.012569216,300,1.0058,0,-80,0
300.0126074364,300,1.00732,0,-80,0
300.0126457146,300,1.00884,0,-80,0
300.0126830416,300,1.01032,0,-80,0
300.012756795,300,1.01324,0,-80,0
300.0127942849,300,1.01472,0,-80,0
300.0128328442,300,1.01624,0,-80,0
300.012903981,300,1.01904,0,-80,0
300.0129447426,300,1.02064,0,-80,0
300.012983527,300,1.02216,0,-80,0
300.013022369,300,1.02368,0,-80,0
300.0130622926,300,1.02524,0,-80,0
300.0131012517,300,1.02676,0,-80,0
300.0131412953,300,1.02832,0,-80,0
300.0131793432,300,1.0298,0,-80,0
300.0132184756,300,1.03132,0,-80,0
300.0132576657,300,1.03284,0,-80,0
300.0132969136,300,1.03436,0,-80,0
300.0133372537,300,1.03592,0,-80,0
300.0133766186,300,1.03744,0,-80,0
300.0134150039,300,1.03892,0,-80,0
300.0134555218,300,1.04048,0,-80,0
300.0135023434,300,1.04228,0,-80,0
300.01354195,300,1.0438,0,-80,0
300.0135826582,300,1.04536,0,-80,0
300.0136234273,300,1.04692,0,-80,0
300.0136632102,300,1.04844,0,-80,0
300.013703051,300,1.04996,0,-80,0
300.0137429494,300,1.05148,0,-80,0
300.0137829057,300,1.053,0,-80,0
300.0138239727,300,1.05456,0,-80,0
300.013864046,300,1.05608,0,-80,0
300.0139062892,300,1.05768,0,-80,0
300.013946481,300,1.0592,0,-80,0
300.0139867306,300,1.06072,0,-80,0
300.014027038,300,1.06224,0,-80,0
300.0140684653,300,1.0638,0,-80,0
300.0141099535,300,1.06536,0,-80,0
300.0141515026,300,1.06692,0,-80,0
300.0141920455,300,1.06844,0,-80,0
300.0142326462,300,1.06996,0,-80,0
300.0142733047,300,1.07148,0,-80,0
300.014314021,300,1.073,0,-80,0
300.014354795,300,1.07452,0,-80,0
300.0143977758,300,1.07612,0,-80,0
300.0144386683,300,1.07764,0,-80,0
300.0144828516,300,1.07928,0,-80,0
300.0145238642,300,1.0808,0,-80,0
300.0145660154,300,1.08236,0,-80,0
300.0146093098,300,1.08396,0,-80,0
300.0146505003,300,1.08548,0,-80,0
300.0146917485,300,1.087,0,-80,0
300.0147330545,300,1.08852,0,-80,0
300.0147744183,300,1.09004,0,-80,0
300.0148158398,300,1.09156,0,-80,0
300.0148584106,300,1.09312,0,-80,0
300.0148999492,300,1.09464,0,-80,0
300.0149415455,300,1.09616,0,-80,0
300.0149831996,300,1.09768,0,-80,0
300.0150260091,300,1.09924,0,-80,0
300.0150688795,300,1.1008,0,-80,0
300.0151118107,300,1.10236,0,-80,0
300.0151548027,300,1.10392,0,-80,0
300.0151967517,300,1.10544,0,-80,0
300.0152387584,300,1.10696,0,-80,0
300.0152808229,300,1.10848,0,-80,0
300.0153229451,300,1.11,0,-80,0
300.0153662351,300,1.11156,0,-80,0
300.0154084744,300,1.11308,0,-80,0
300.0154507714,300,1.1146,0,-80,0
300.0154920116,300,1.11608,0,-80,0
300.0155355388,300,1.11764,0,-80,0
300.0155802444,300,1.11924,0,-80,0
300.015625014,300,1.12084,0,-80,0
300.0156676059,300,1.12236,0,-80,0
300.0157102556,300,1.12388,0,-80,0
300.015752963,300,1.1254,0,-80,0
300.0157946028,300,1.12688,0,-80,0
300.0158374242,300,1.1284,0,-80,0
300.0158814318,300,1.12996,0,-80,0
300.0159255003,300,1.13152,0,-80,0
300.0159696296,300,1.13308,0,-80,0
